Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
North Antrim,9,177,Phillip,LOGAN,0,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,178,Stephen,MCFARLAND,0,19,Alliance Party,,north-antrim,M
North Antrim,9,179,David,MCILVEEN,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,180,Daithi Gerard,MCKAY,1,24,Sinn Fein,,north-antrim,M
North Antrim,9,181,James,SIMPSON,0,991,NI Conservatives,,north-antrim,M
North Antrim,9,182,Mervyn,STOREY,1,20,Democratic Unionist Party,,north-antrim,M
North Antrim,9,183,Robin,SWANN,1,26,Ulster Unionist Party,,north-antrim,M
North Antrim,9,184,Andrew,WRIGHT,0,26,Ulster Unionist Party,,north-antrim,M
North Down,11,185,Steven,AGNEW,1,111,Green Party,,north-down,M
North Down,11,186,John,BRENNAN,0,141,Traditional Unionist Voice,,north-down,M
North Down,11,187,Conal,BROWNE,0,23,Social Democratic and Labour Party,,north-down,M
North Down,11,188,Alan,CHAMBERS,0,26,Ulster Unionist Party,,north-down,M
North Down,11,189,Gordon Mervyn,DUNNE,1,20,Democratic Unionist Party,,north-down,M
North Down,11,190,Alex,EASTON,1,20,Democratic Unionist Party,,north-down,M
North Down,11,191,Chris,EISENSTADT,0,26,Ulster Unionist Party,,north-down,M
North Down,11,192,Stephen,FARRY,1,19,Alliance Party,,north-down,M
North Down,11,193,Maria,LOURENCO,0,989,NI Labour Representation Committee,,north-down,F
North Down,11,194,Therese,MCCARTNEY,0,24,Sinn Fein,,north-down,F
North Down,11,195,Carl,MCCLEAN,0,26,Ulster Unionist Party,,north-down,M
North Down,11,196,Andrew,MUIR,0,19,Alliance Party,,north-down,M
North Down,11,197,Bill,PIPER,0,689,UK Independence Party,,north-down,M
North Down,11,198,Frank,SHIVERS,0,991,NI Conservatives,,north-down,M
North Down,11,199,Peter James,WEIR,1,20,Democratic Unionist Party,,north-down,M
North Down,11,200,Brian,WILSON,0,21,Independent,,north-down,M
South Antrim,12,201,Steve,AIKEN,0,26,Ulster Unionist Party,,south-antrim,M
South Antrim,12,202,Richard William,CAIRNS,0,141,Traditional Unionist Voice,,south-antrim,M
South Antrim,12,203,Pam,CAMERON,1,20,Democratic Unionist Party,,south-antrim,F
South Antrim,12,204,Trevor,CLARKE,1,20,Democratic Unionist Party,,south-antrim,M
South Antrim,12,205,Adrian David,COCHRANE-WATSON,1,26,Ulster Unionist Party,,south-antrim,M
South Antrim,12,206,Helen,FARLEY,0,111,Green Party,,south-antrim,F
South Antrim,12,207,David RJ,FORD,1,19,Alliance Party,,south-antrim,M
South Antrim,12,208,Paul,GIRVAN,1,20,Democratic Unionist Party,,south-antrim,M
South Antrim,12,209,Robert,HILL,0,689,UK Independence Party,,south-antrim,M
South Antrim,12,210,Declan,KEARNEY,0,24,Sinn Fein,,south-antrim,M
South Antrim,12,211,Roisin,LYNCH,0,23,Social Democratic and Labour Party,,south-antrim,F
South Antrim,12,212,David,MCMASTER,0,21,Independent,,south-antrim,M
South Antrim,12,213,Paul,MICHAEL,0,26,Ulster Unionist Party,,south-antrim,M
South Antrim,12,214,Mark David,YOUNG,0,991,NI Conservatives,,south-antrim,M
